question,temporality,feature,label,mode,model,f1_train,f1_test
2,False,all,depression,PCA,SVC,0.8663101604278074,0.6333333333333333
2,False,all,depression,PCA,LinearSVC,1.0,0.5454545454545454
2,False,all,depression,PCA,GaussianNB,0.9007936507936507,0.5299145299145299
2,False,all,depression,PCA,GradientBoostingClassifier,1.0,0.26666666666666666
2,False,all,depression,PCA,HistGradientBoostingClassifier,0.40476190476190477,0.3125
2,False,all,depression,t-SNE,LogisticRegression,0.7028862478777589,0.5454545454545454
2,False,all,depression,t-SNE,KNeighborsClassifier,1.0,0.47619047619047616
2,False,all,depression,t-SNE,DecisionTreeClassifier,0.8263888888888888,0.47619047619047616
2,False,all,depression,t-SNE,RandomForestClassifier,1.0,0.3125
2,False,all,depression,t-SNE,SVC,0.8263888888888888,0.4107142857142857
2,False,all,depression,t-SNE,LinearSVC,0.7028862478777589,0.6333333333333333
2,False,all,depression,t-SNE,GaussianNB,0.5614035087719298,0.3125
2,False,all,depression,t-SNE,GradientBoostingClassifier,1.0,0.47619047619047616
2,False,all,depression,t-SNE,HistGradientBoostingClassifier,0.40476190476190477,0.3125
2,False,all,depression,SMOTE,LogisticRegression,1.0,0.5299145299145299
2,False,all,depression,SMOTE,KNeighborsClassifier,1.0,0.6333333333333333
2,False,all,depression,SMOTE,DecisionTreeClassifier,1.0,0.5299145299145299
2,False,all,depression,SMOTE,RandomForestClassifier,1.0,0.26666666666666666
2,False,all,depression,SMOTE,SVC,0.5041666666666667,0.35294117647058826
2,False,all,depression,SMOTE,LinearSVC,1.0,0.5299145299145299
2,False,all,depression,SMOTE,GaussianNB,1.0,0.3125
2,False,all,depression,SMOTE,GradientBoostingClassifier,1.0,0.6333333333333333
2,False,all,depression,SMOTE,HistGradientBoostingClassifier,0.3333333333333333,0.3125
2,False,all,depression,Pass,LogisticRegression,1.0,0.5299145299145299
2,False,all,depression,Pass,KNeighborsClassifier,1.0,0.47619047619047616
2,False,all,depression,Pass,DecisionTreeClassifier,0.9554367201426025,0.5299145299145299
2,False,all,depression,Pass,RandomForestClassifier,1.0,0.21428571428571427
2,False,all,depression,Pass,SVC,0.41666666666666663,0.35294117647058826
2,False,all,depression,Pass,LinearSVC,1.0,0.5299145299145299
2,False,all,depression,Pass,GaussianNB,1.0,0.26666666666666666
2,False,all,depression,Pass,GradientBoostingClassifier,1.0,0.717948717948718
2,False,all,depression,Pass,HistGradientBoostingClassifier,0.40476190476190477,0.3125
2,False,all,anxiety,selection feature,LogisticRegression,0.8376623376623377,0.7272727272727273
2,False,all,anxiety,selection feature,KNeighborsClassifier,1.0,0.6333333333333333
2,False,all,anxiety,selection feature,DecisionTreeClassifier,0.9188311688311688,0.717948717948718
2,False,all,anxiety,selection feature,RandomForestClassifier,1.0,0.6333333333333333
2,False,all,anxiety,selection feature,SVC,0.8397435897435898,0.7272727272727273
2,False,all,anxiety,selection feature,LinearSVC,0.8792270531400965,0.7272727272727273
2,False,all,anxiety,selection feature,GaussianNB,0.9589490968801313,0.7272727272727273
2,False,all,anxiety,selection feature,GradientBoostingClassifier,1.0,0.6333333333333333
2,False,all,anxiety,selection feature,HistGradientBoostingClassifier,0.358974358974359,0.3125
2,False,all,anxiety,PCA,LogisticRegression,1.0,0.5299145299145299
2,False,all,anxiety,PCA,KNeighborsClassifier,1.0,0.26666666666666666
2,False,all,anxiety,PCA,DecisionTreeClassifier,1.0,0.5454545454545454
2,False,all,anxiety,PCA,RandomForestClassifier,1.0,0.4107142857142857
2,False,all,anxiety,PCA,SVC,0.6666666666666667,0.3125
2,False,all,anxiety,PCA,LinearSVC,1.0,0.5299145299145299
2,False,all,anxiety,PCA,GaussianNB,0.72,0.45
2,False,all,anxiety,PCA,GradientBoostingClassifier,1.0,0.5454545454545454
2,False,all,anxiety,PCA,HistGradientBoostingClassifier,0.358974358974359,0.3125
2,False,all,anxiety,t-SNE,LogisticRegression,0.6376811594202898,0.8166666666666667
2,False,all,anxiety,t-SNE,KNeighborsClassifier,1.0,0.717948717948718
2,False,all,anxiety,t-SNE,DecisionTreeClassifier,0.8397435897435898,0.6071428571428572
2,False,all,anxiety,t-SNE,RandomForestClassifier,1.0,0.6333333333333333
2,False,all,anxiety,t-SNE,SVC,0.8768472906403941,0.6333333333333333
2,False,all,anxiety,t-SNE,LinearSVC,0.6376811594202898,0.8166666666666667
2,False,all,anxiety,t-SNE,GaussianNB,0.5833333333333333,0.5454545454545454
2,False,all,anxiety,t-SNE,GradientBoostingClassifier,1.0,0.6333333333333333
