question,temporality,feature,label,mode,model,f1_binary_mean,f1_binary_std,f1_macro_mean,f1_macro_std
2,False,all,depression,selection feature,KNeighborsClassifier,0.21333333333333332,0.3069563848859023,0.4427777777777777,0.1870993662188789
2,False,all,depression,selection feature,LinearSVC,0.2038095238095238,0.1904285654747019,0.39714285714285713,0.09460204271188213
2,False,all,depression,selection feature,RandomForestClassifier,0.2038095238095238,0.1904285654747019,0.40634920634920635,0.08566099166229281
2,False,all,depression,selection feature,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
2,False,all,depression,PCA,KNeighborsClassifier,0.6742857142857143,0.1305990905365715,0.7048412698412698,0.10289201226507656
2,False,all,depression,PCA,LogisticRegression,0.6014285714285714,0.19275129370380314,0.6858225108225108,0.1088041328728943
2,False,all,depression,PCA,LinearSVC,0.5514285714285714,0.18995165872679612,0.5808225108225108,0.2015876527827656
2,False,all,depression,PCA,SVC,0.5342857142857144,0.16524564275338577,0.6298412698412699,0.13176706659385842
2,False,all,depression,PCA,RandomForestClassifier,0.4133333333333333,0.2501110864307209,0.5852564102564102,0.12892267150049463
2,False,all,depression,PCA,GradientBoostingClassifier,0.3833333333333333,0.36132472314464664,0.5559090909090909,0.22412363766162124
2,False,all,depression,PCA,GaussianNB,0.36190476190476184,0.33265236564900913,0.472965367965368,0.23463493492720333
2,False,all,depression,PCA,DecisionTreeClassifier,0.13333333333333333,0.2981423969999719,0.43712121212121213,0.1545528815803025
2,False,all,depression,PCA,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
2,False,all,depression,t-SNE,LinearSVC,0.6780952380952381,0.17643483698147672,0.7363780663780664,0.12007829396486748
2,False,all,depression,t-SNE,KNeighborsClassifier,0.6014285714285714,0.19275129370380314,0.682936507936508,0.12382033428587429
2,False,all,depression,t-SNE,LogisticRegression,0.599047619047619,0.17419721927118711,0.6701082251082251,0.12033430987438092
2,False,all,depression,t-SNE,GaussianNB,0.3704761904761905,0.24990701218499053,0.5142640692640692,0.18265298715326234
2,False,all,depression,t-SNE,SVC,0.3333333333333333,0.3118047822311618,0.5504545454545455,0.17185919557522933
2,False,all,depression,t-SNE,GradientBoostingClassifier,0.31333333333333335,0.30147784145586703,0.4655050505050505,0.18324840813433263
2,False,all,depression,t-SNE,RandomForestClassifier,0.27999999999999997,0.2588435821108957,0.5166666666666667,0.14092945437739804
2,False,all,depression,t-SNE,DecisionTreeClassifier,0.18333333333333332,0.1707825127659933,0.3338383838383838,0.09232552546717798
2,False,all,depression,t-SNE,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
2,False,all,depression,SMOTE,LinearSVC,0.618095238095238,0.17562328266766333,0.6974891774891775,0.10711709318990487
2,False,all,depression,SMOTE,KNeighborsClassifier,0.6142857142857142,0.07604152106033957,0.5347619047619048,0.07483163263373575
2,False,all,depression,SMOTE,LogisticRegression,0.599047619047619,0.17419721927118711,0.6701082251082251,0.12033430987438092
2,False,all,depression,SMOTE,RandomForestClassifier,0.45999999999999996,0.12995725793078616,0.5743939393939395,0.11217801591382241
2,False,all,depression,SMOTE,DecisionTreeClassifier,0.24761904761904757,0.2460573463383583,0.4081240981240981,0.12913870914040923
2,False,all,depression,SMOTE,GaussianNB,0.13714285714285715,0.19208841501681842,0.3865367965367965,0.0948383483907283
2,False,all,depression,SMOTE,GradientBoostingClassifier,0.1,0.223606797749979,0.3498989898989899,0.1021016776368916
2,False,all,depression,SMOTE,SVC,0.1,0.223606797749979,0.4242424242424242,0.13551927136362363
2,False,all,depression,SMOTE,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
2,False,all,depression,Pass,LinearSVC,0.6780952380952381,0.17643483698147672,0.7363780663780664,0.12007829396486748
2,False,all,depression,Pass,KNeighborsClassifier,0.6014285714285714,0.19275129370380314,0.682936507936508,0.12382033428587429
2,False,all,depression,Pass,LogisticRegression,0.599047619047619,0.17419721927118711,0.6701082251082251,0.12033430987438092
2,False,all,depression,Pass,GaussianNB,0.3704761904761905,0.24990701218499053,0.5142640692640692,0.18265298715326234
2,False,all,depression,Pass,SVC,0.3333333333333333,0.3118047822311618,0.5504545454545455,0.17185919557522933
2,False,all,depression,Pass,GradientBoostingClassifier,0.31333333333333335,0.30147784145586703,0.4655050505050505,0.18324840813433263
2,False,all,depression,Pass,RandomForestClassifier,0.27999999999999997,0.2588435821108957,0.5166666666666667,0.14092945437739804
2,False,all,depression,Pass,DecisionTreeClassifier,0.18333333333333332,0.1707825127659933,0.3338383838383838,0.09232552546717798
2,False,all,depression,Pass,HistGradientBoostingClassifier,0.0,0.0,0.3784382284382285,0.023220983789778094
2,False,all,anxiety,selection feature,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
2,False,all,anxiety,selection feature,DecisionTreeClassifier,0.5476190476190477,0.13883218797250718,0.5464285714285714,0.12824583995144875
2,False,all,anxiety,selection feature,RandomForestClassifier,0.5476190476190477,0.13883218797250718,0.5809523809523809,0.12853559906406226
2,False,all,anxiety,selection feature,GradientBoostingClassifier,0.49428571428571433,0.13275384275583096,0.5114285714285713,0.09168058026750238
2,False,all,anxiety,selection feature,KNeighborsClassifier,0.4809523809523809,0.08812740725391309,0.46428571428571425,0.06992464359804006
2,False,all,anxiety,selection feature,GaussianNB,0.4442857142857143,0.2793213349589775,0.5004978354978354,0.16447798295724023
2,False,all,anxiety,selection feature,LogisticRegression,0.4333333333333333,0.27888667551135854,0.48166666666666663,0.1453444185374863
2,False,all,anxiety,selection feature,LinearSVC,0.38,0.24675674031095662,0.44666666666666666,0.08612007121842544
2,False,all,anxiety,selection feature,SVC,0.36190476190476184,0.23473823893078546,0.4619047619047619,0.10561073864865178
2,False,all,anxiety,PCA,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
2,False,all,anxiety,PCA,LogisticRegression,0.5342857142857143,0.30992922167646536,0.490952380952381,0.26982425833398954
2,False,all,anxiety,PCA,LinearSVC,0.49857142857142855,0.2883981091958737,0.4647619047619047,0.243461258424706
2,False,all,anxiety,PCA,GradientBoostingClassifier,0.4793650793650793,0.13661402300803127,0.3907936507936508,0.11262097719747009
2,False,all,anxiety,PCA,DecisionTreeClassifier,0.46761904761904755,0.26815908907242764,0.4309523809523809,0.11947542181232738
2,False,all,anxiety,PCA,SVC,0.440952380952381,0.29809675946667913,0.4848412698412698,0.26042063866963294
2,False,all,anxiety,PCA,KNeighborsClassifier,0.4103174603174603,0.3173809424578365,0.37875180375180373,0.2874144332555979
2,False,all,anxiety,PCA,RandomForestClassifier,0.3904761904761905,0.25676780408653166,0.37047619047619046,0.12945682791874896
2,False,all,anxiety,PCA,GaussianNB,0.31746031746031744,0.2944005871585938,0.36468253968253966,0.20261618759600264
2,False,all,anxiety,t-SNE,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
2,False,all,anxiety,t-SNE,DecisionTreeClassifier,0.6847619047619047,0.17294796249862646,0.7114285714285714,0.1166806357040418
2,False,all,anxiety,t-SNE,GradientBoostingClassifier,0.6490476190476191,0.1745385883432706,0.684047619047619,0.13257009441036385
2,False,all,anxiety,t-SNE,RandomForestClassifier,0.5380952380952381,0.15757516293118376,0.4852380952380952,0.13431188532547125
2,False,all,anxiety,t-SNE,KNeighborsClassifier,0.47857142857142854,0.31903873477324707,0.46944444444444444,0.3373354324756404
2,False,all,anxiety,t-SNE,GaussianNB,0.4533333333333333,0.14085278191373965,0.29333333333333333,0.1310805049022626
2,False,all,anxiety,t-SNE,SVC,0.35888888888888887,0.23771027079094872,0.2627777777777778,0.1070724342342113
2,False,all,anxiety,t-SNE,LogisticRegression,0.3142857142857143,0.20578371844125617,0.30317460317460315,0.1257567168252121
2,False,all,anxiety,t-SNE,LinearSVC,0.3142857142857143,0.20578371844125617,0.30317460317460315,0.1257567168252121
2,False,all,anxiety,SMOTE,DecisionTreeClassifier,0.6680952380952381,0.16906103233170328,0.6764285714285714,0.14145742851343174
2,False,all,anxiety,SMOTE,RandomForestClassifier,0.5666666666666667,0.1892819706128742,0.5761904761904761,0.18144513110278554
2,False,all,anxiety,SMOTE,GradientBoostingClassifier,0.5166666666666666,0.2312406154251935,0.4833333333333333,0.2544738580767078
2,False,all,anxiety,SMOTE,SVC,0.48047619047619045,0.19639898767121136,0.33380952380952383,0.11339434132262037
2,False,all,anxiety,SMOTE,GaussianNB,0.4533333333333333,0.14085278191373965,0.29333333333333333,0.1310805049022626
2,False,all,anxiety,SMOTE,LogisticRegression,0.3142857142857143,0.20578371844125617,0.30317460317460315,0.1257567168252121
2,False,all,anxiety,SMOTE,LinearSVC,0.3142857142857143,0.20578371844125617,0.30317460317460315,0.1257567168252121
2,False,all,anxiety,SMOTE,KNeighborsClassifier,0.2742857142857143,0.38417683003363684,0.3627200577200577,0.34343594596555793
2,False,all,anxiety,SMOTE,HistGradientBoostingClassifier,0.0,0.0,0.3193939393939394,0.028635962799824118
